ID,target
TEST_01441,4
TEST_01442,10
TEST_01443,10
TEST_01444,12
TEST_01445,19
TEST_01446,3
TEST_01447,6
TEST_01448,1
TEST_01449,7
TEST_01450,1
TEST_01451,5
TEST_01452,8
TEST_01453,1
TEST_01454,6
TEST_01455,16
TEST_01456,11
TEST_01457,9
TEST_01458,11
TEST_01459,12
TEST_01460,14
TEST_01461,16
TEST_01462,4
TEST_01463,19
TEST_01464,19
TEST_01465,0
TEST_01466,14
TEST_01467,16
TEST_01468,1
TEST_01469,12
TEST_01470,12
TEST_01471,1
TEST_01472,10
TEST_01473,18
TEST_01474,15
TEST_01475,8
TEST_01476,1
TEST_01477,12
TEST_01478,0
TEST_01479,18
TEST_01480,5
TEST_01481,8
TEST_01482,20
TEST_01483,13
TEST_01484,20
TEST_01485,18
TEST_01486,18
TEST_01487,1
TEST_01488,11
TEST_01489,14
TEST_01490,3
TEST_01491,5
TEST_01492,20
TEST_01493,18
TEST_01494,15
TEST_01495,12
TEST_01496,5
TEST_01497,2
TEST_01498,19
TEST_01499,18
TEST_01500,19
TEST_01501,12
TEST_01502,6
TEST_01503,3
TEST_01504,9
TEST_01505,17
TEST_01506,1
TEST_01507,7
TEST_01508,0
TEST_01509,14
TEST_01510,7
TEST_01511,15
TEST_01512,13
TEST_01513,13
TEST_01514,10
TEST_01515,6
TEST_01516,20
TEST_01517,13
TEST_01518,19
TEST_01519,16
TEST_01520,0
TEST_01521,0
TEST_01522,20
TEST_01523,16
TEST_01524,12
TEST_01525,18
TEST_01526,13
TEST_01527,19
TEST_01528,5
TEST_01529,9
TEST_01530,0
TEST_01531,11
TEST_01532,6
TEST_01533,19
TEST_01534,6
TEST_01535,1
TEST_01536,18
TEST_01537,10
TEST_01538,11
TEST_01539,7
TEST_01540,3
TEST_01541,6
TEST_01542,14
TEST_01543,11
TEST_01544,4
TEST_01545,11
TEST_01546,0
TEST_01547,1
TEST_01548,3
TEST_01549,15
TEST_01550,8
TEST_01551,10
TEST_01552,16
TEST_01553,13
